Height cm (H),Width cm (W),Ratio (H/W),Lower Angle (L),Upper Angle (U),Ratio(L/U),"Internal Angle (Right,2nd)",Ratio(L/I),Leave Model
11.7,7.7,1.519480519,33,70,0.471428571,20,1.65,0
14.1,9.1,1.549450549,35,75,0.466666667,20,1.75,0
14.8,8.1,1.827160494,40,75,0.533333333,20,2,0
14.1,8.7,1.620689655,35,75,0.466666667,15,2.333333333,0
14.5,8.3,1.746987952,43,75,0.573333333,20,2.15,0
14,7.7,1.818181818,30,65,0.461538462,22,1.363636364,0
17.1,9.3,1.838709677,35,75,0.466666667,20,1.75,0
11.8,7.7,1.532467532,45,75,0.6,15,3,0
14.5,8.7,1.666666667,40,70,0.571428571,24,1.666666667,0
14,8.1,1.728395062,45,68,0.661764706,15,3,0
15,9.1,1.648351648,50,70,0.714285714,12,4.166666667,0
16,9.9,1.616161616,40,77,0.519480519,15,2.666666667,0
13.8,8.6,1.604651163,50,70,0.714285714,19,2.631578947,0
15.2,9.1,1.67032967,55,80,0.6875,18,3.055555556,0
14.4,9.7,1.484536082,50,85,0.588235294,10,5,0
14.6,8.6,1.697674419,55,68,0.808823529,25,2.2,0
13.5,7.7,1.753246753,55,75,0.733333333,25,2.2,0
16.5,10.4,1.586538462,50,80,0.625,15,3.333333333,0
14.8,8.4,1.761904762,45,70,0.642857143,20,2.25,0
14,7.2,1.944444444,40,65,0.615384615,18,2.222222222,0
16.4,8.5,1.929411765,42,66,0.636363636,20,2.1,0
13,7.1,1.830985915,40,63,0.634920635,25,1.6,0
10.9,7.1,1.535211268,40,62,0.64516129,19,2.105263158,0
11.8,7,1.685714286,55,60,0.916666667,15,3.666666667,0
14.5,8.5,1.705882353,30,75,0.4,15,2,0
14.1,9.3,1.516129032,50,77,0.649350649,12,4.166666667,0
17.2,10.5,1.638095238,40,80,0.5,20,2,0
14.2,9.4,1.510638298,32,75,0.426666667,18,1.777777778,0
16.5,10,1.65,37,74,0.5,15,2.466666667,0
16,9.4,1.70212766,40,78,0.512820513,15,2.666666667,0
13.5,8.8,1.534090909,40,65,0.615384615,20,2,0
12.4,8.1,1.530864198,40,65,0.615384615,18,2.222222222,0
16.5,10,1.65,35,68,0.514705882,20,1.75,0
17.3,10.6,1.632075472,37,73,0.506849315,18,2.055555556,0
16.2,9.8,1.653061224,40,68,0.588235294,16,2.5,0
17,10.3,1.650485437,40,71,0.563380282,22,1.818181818,0
15.9,9.2,1.72826087,35,71,0.492957746,15,2.333333333,0
